County of Residence,County of Residence Code,Births_MM,percent_MM,Avg_Age_MM,Average OE Gestational Age (weeks)_MM,Average LMP Gestational Age (weeks)_MM,Average Birth Weight (grams)_MM,Average Pre-pregnancy BMI_MM,Average Number of Prenatal Visits_MM,Average Interval Since Last Live Birth (months)_MM,Average Interval Since Last Other Pregnancy Outcome (months)_MM,Births_noMM,% of Total Births_noMM,Average Age of Mother (years)_noMM,Average OE Gestational Age (weeks)_noMM,Average LMP Gestational Age (weeks)_noMM,Average Birth Weight (grams)_noMM,Average Pre-pregnancy BMI_noMM,Average Number of Prenatal Visits_noMM,Average Interval Since Last Live Birth (months)_noMM,Average Interval Since Last Other Pregnancy Outcome (months)_noMM,county-id
"Baldwin County, AL",1003.0,2475.0,0.07,28.51,38.15,38.31,3240.97,27.53,10.97,52.1,45.38,2475.0,0.07%,28.51,38.15,38.31,3240.97,27.53,10.97,52.1,45.38,1003
"Calhoun County, AL",1015.0,1321.0,0.04,27.06,38.14,38.16,3214.06,29.25,10.16,53.46,45.19,1321.0,0.04%,27.06,38.14,38.16,3214.06,29.25,10.16,53.46,45.19,1015
"Etowah County, AL",1055.0,1117.0,0.03,26.77,38.24,38.41,3233.98,28.96,10.27,48.9,44.6,1117.0,0.03%,26.77,38.24,38.41,3233.98,28.96,10.27,48.9,44.6,1055
"Houston County, AL",1069.0,1308.0,0.04,27.11,38.22,38.27,3194.95,30.15,11.64,47.99,41.66,1308.0,0.04%,27.11,38.22,38.27,3194.95,30.15,11.64,47.99,41.66,1069
"Jefferson County, AL",1073.0,7969.0,0.22,28.88,38.11,38.15,3157.8,27.93,10.49,51.9,52.67,7969.0,0.22%,28.88,38.11,38.15,3157.8,27.93,10.49,51.9,52.67,1073
"Lee County, AL",1081.0,1873.0,0.05,28.56,38.16,38.31,3198.51,28.2,11.9,48.73,45.01,1873.0,0.05%,28.56,38.16,38.31,3198.51,28.2,11.9,48.73,45.01,1081
"Madison County, AL",1089.0,4233.0,0.12,29.04,37.98,38.16,3196.04,28.26,9.58,48.65,40.83,4233.0,0.12%,29.04,37.98,38.16,3196.04,28.26,9.58,48.65,40.83,1089
"Mobile County, AL",1097.0,5040.0,0.14,27.54,37.86,37.99,3130.58,28.71,10.46,49.57,44.22,5040.0,0.14%,27.54,37.86,37.99,3130.58,28.71,10.46,49.57,44.22,1097
"Montgomery County, AL",1101.0,3040.0,0.08,27.69,37.8,38.05,3063.4,29.23,9.66,51.93,53.44,3040.0,0.08%,27.69,37.8,38.05,3063.4,29.23,9.66,51.93,53.44,1101
"Morgan County, AL",1103.0,1357.0,0.04,27.22,38.12,38.25,3189.76,29.1,9.87,51.65,42.0,1357.0,0.04%,27.22,38.12,38.25,3189.76,29.1,9.87,51.65,42.0,1103
