bins,dob_mm,no_mmorb,dob_tt
0:00-1:00,April,Death,149
0:00-1:00,April,Survival,9146
0:00-1:00,August,Death,144
0:00-1:00,August,Survival,10509
0:00-1:00,December,Death,137
0:00-1:00,December,Survival,9828
0:00-1:00,February,Death,139
0:00-1:00,February,Survival,8255
0:00-1:00,January,Death,140
0:00-1:00,January,Survival,8777
0:00-1:00,July,Death,152
0:00-1:00,July,Survival,10454
0:00-1:00,June,Death,154
0:00-1:00,June,Survival,9787
0:00-1:00,March,Death,155
0:00-1:00,March,Survival,9306
0:00-1:00,May,Death,172
0:00-1:00,May,Survival,9618
0:00-1:00,November,Death,150
0:00-1:00,November,Survival,9515
0:00-1:00,October,Death,150
0:00-1:00,October,Survival,10154
0:00-1:00,September,Death,165
0:00-1:00,September,Survival,10449
1:01-2:00,April,Death,167
1:01-2:00,April,Survival,8789
1:01-2:00,August,Death,158
1:01-2:00,August,Survival,10205
1:01-2:00,December,Death,130
1:01-2:00,December,Survival,9430
1:01-2:00,February,Death,121
1:01-2:00,February,Survival,7929
1:01-2:00,January,Death,142
1:01-2:00,January,Survival,8467
1:01-2:00,July,Death,164
1:01-2:00,July,Survival,9926
1:01-2:00,June,Death,147
1:01-2:00,June,Survival,9483
1:01-2:00,March,Death,150
1:01-2:00,March,Survival,8991
1:01-2:00,May,Death,136
1:01-2:00,May,Survival,9396
1:01-2:00,November,Death,169
1:01-2:00,November,Survival,9388
1:01-2:00,October,Death,150
1:01-2:00,October,Survival,9822
1:01-2:00,September,Death,150
1:01-2:00,September,Survival,9993
2:01-3:00,April,Death,148
2:01-3:00,April,Survival,8704
2:01-3:00,August,Death,153
2:01-3:00,August,Survival,9875
2:01-3:00,December,Death,145
2:01-3:00,December,Survival,9203
2:01-3:00,February,Death,129
2:01-3:00,February,Survival,7714
2:01-3:00,January,Death,120
2:01-3:00,January,Survival,8225
2:01-3:00,July,Death,158
2:01-3:00,July,Survival,9701
2:01-3:00,June,Death,140
2:01-3:00,June,Survival,9070
2:01-3:00,March,Death,131
2:01-3:00,March,Survival,8461
2:01-3:00,May,Death,113
2:01-3:00,May,Survival,8916
2:01-3:00,November,Death,132
2:01-3:00,November,Survival,8772
2:01-3:00,October,Death,143
2:01-3:00,October,Survival,9479
2:01-3:00,September,Death,120
2:01-3:00,September,Survival,9686
3:01-4:00,April,Death,131
3:01-4:00,April,Survival,8297
3:01-4:00,August,Death,139
3:01-4:00,August,Survival,9756
3:01-4:00,December,Death,129
3:01-4:00,December,Survival,9152
3:01-4:00,February,Death,117
3:01-4:00,February,Survival,7563
3:01-4:00,January,Death,123
3:01-4:00,January,Survival,7928
3:01-4:00,July,Death,143
3:01-4:00,July,Survival,9655
3:01-4:00,June,Death,146
3:01-4:00,June,Survival,9043
3:01-4:00,March,Death,123
3:01-4:00,March,Survival,8547
3:01-4:00,May,Death,161
3:01-4:00,May,Survival,8754
3:01-4:00,November,Death,132
3:01-4:00,November,Survival,8694
3:01-4:00,October,Death,140
3:01-4:00,October,Survival,9257
3:01-4:00,September,Death,128
3:01-4:00,September,Survival,9593
4:01-5:00,April,Death,124
4:01-5:00,April,Survival,8431
4:01-5:00,August,Death,129
4:01-5:00,August,Survival,9616
4:01-5:00,December,Death,145
4:01-5:00,December,Survival,8916
4:01-5:00,February,Death,97
4:01-5:00,February,Survival,7498
4:01-5:00,January,Death,131
4:01-5:00,January,Survival,7951
4:01-5:00,July,Death,149
4:01-5:00,July,Survival,9475
4:01-5:00,June,Death,131
4:01-5:00,June,Survival,8883
4:01-5:00,March,Death,140
4:01-5:00,March,Survival,8353
4:01-5:00,May,Death,125
4:01-5:00,May,Survival,8751
4:01-5:00,November,Death,146
4:01-5:00,November,Survival,8653
4:01-5:00,October,Death,141
4:01-5:00,October,Survival,9260
4:01-5:00,September,Death,155
4:01-5:00,September,Survival,9480
5:01-6:00,April,Death,122
5:01-6:00,April,Survival,8398
5:01-6:00,August,Death,133
5:01-6:00,August,Survival,9620
5:01-6:00,December,Death,145
5:01-6:00,December,Survival,8994
5:01-6:00,February,Death,113
5:01-6:00,February,Survival,7421
5:01-6:00,January,Death,94
5:01-6:00,January,Survival,8002
5:01-6:00,July,Death,137
5:01-6:00,July,Survival,9505
5:01-6:00,June,Death,134
5:01-6:00,June,Survival,9070
5:01-6:00,March,Death,116
5:01-6:00,March,Survival,8561
5:01-6:00,May,Death,131
5:01-6:00,May,Survival,8742
5:01-6:00,November,Death,127
5:01-6:00,November,Survival,8624
5:01-6:00,October,Death,156
5:01-6:00,October,Survival,9270
5:01-6:00,September,Death,118
5:01-6:00,September,Survival,9317
6:01-7:00,April,Death,114
6:01-7:00,April,Survival,8630
6:01-7:00,August,Death,159
6:01-7:00,August,Survival,9719
6:01-7:00,December,Death,147
6:01-7:00,December,Survival,9327
6:01-7:00,February,Death,113
6:01-7:00,February,Survival,7777
6:01-7:00,January,Death,110
6:01-7:00,January,Survival,8222
6:01-7:00,July,Death,139
6:01-7:00,July,Survival,9816
